station_name,latitude,longitude
Rockville Metro West,39.084379,-77.146866
Commonwealth Ave & E Monroe Ave,38.820058,-77.062821
Reston Town Center Metro North,38.953691,-77.359717
Stadium Armory Metro,38.885483,-76.977187
Pimmit Dr & Los Pueblos Ln,38.900371,-77.205428
Washington Blvd & 7th St N,38.88081,-77.090792
Western Ave & Pinehurst Cir NW,38.975739,-77.066409
Riggs Rd & East West Hwy,38.9725,-76.9807
14th St & Rhode Island Ave NW,38.9086,-77.0323
Fair Woods Pkwy & Fairfax Blvd,38.862804,-77.293922
